Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Intercontinental,10,0,1006614,512 b,1568864,3263.506236,1,0,515,0,1089
HTTP/1,HTTP,Intercontinental,10,0,308865,16 kib,1703073,96202.543181,0,0,401,17592186044415,689
HTTP/1,HTTP,Intercontinental,10,0,308926,128 b,1537386,832.581761,2,0,369,17592186044405,1175
HTTP/1,HTTP,Intercontinental,10,0,308967,16 kib,1703662,96169.268751,2,0,402,0,1158
HTTP/1,HTTP,Intercontinental,10,0,308981,128 kib,2388625,548733.967890,1,1,539,17592186044414,692
HTTP/1,HTTP,Intercontinental,10,0,309163,8 kib,1539307,53218.750246,0,1,369,17592186044415,1158
HTTP/1,HTTP,Intercontinental,10,0,309199,16 kib,1702647,96226.585059,0,1,402,17592186044415,1158
HTTP/1,HTTP,Intercontinental,10,0,309283,2 mib,3081857,6804830.872593,1,1,676,0,996
HTTP/1,HTTP,Intercontinental,10,0,309338,128 kib,2371207,552764.733457,2,2,535,0,1158
HTTP/1,HTTP,Intercontinental,10,0,311946,128 b,1535784,833.450115,0,0,368,0,689
HTTP/1,HTTP,Intercontinental,10,0,314006,2 kib,1563715,13097.011112,0,0,374,17592186044415,690
HTTP/1,HTTP,Intercontinental,10,0,314019,2 kib,1562533,13106.916069,0,1,376,17592186044415,692
HTTP/1,HTTP,Intercontinental,10,0,314068,256 kib,2574917,1018067.387676,0,0,575,0,691
HTTP/1,HTTP,Intercontinental,10,0,314081,8 kib,1565123,52340.906102,0,1,377,0,691
HTTP/1,HTTP,Intercontinental,10,0,314082,32 b,1562541,204.794567,1,0,374,0,691
HTTP/1,HTTP,Intercontinental,10,0,314102,256 b,1562582,1638.313809,1,0,376,0,692
HTTP/1,HTTP,Intercontinental,10,0,314136,256 b,1562316,1638.592528,0,0,375,0,693
HTTP/1,HTTP,Intercontinental,10,0,314184,8 kib,1565798,52318.365824,1,0,376,0,693
HTTP/1,HTTP,Intercontinental,10,0,314206,2 kib,1565244,13084.217131,0,0,375,0,1158
HTTP/1,HTTP,Intercontinental,10,0,314236,2 mib,3129309,6701644.881033,5,6,681,17592186044415,1530
HTTP/1,HTTP,Intercontinental,10,0,314242,1 kib,1563017,6551.429420,0,0,375,0,690
HTTP/1,HTTP,Intercontinental,10,0,314266,512 kib,2747150,1908479.272671,4,2,609,0,1530
HTTP/1,HTTP,Intercontinental,10,0,314272,256 b,1563617,1637.228932,0,1,375,17592186044415,691
HTTP/1,HTTP,Intercontinental,10,0,314274,32 b,1564080,204.593048,1,0,376,17592186044415,690
HTTP/1,HTTP,Intercontinental,10,0,314288,1 kib,1564273,6546.171020,0,0,374,0,691
HTTP/1,HTTP,Intercontinental,10,0,314316,1 kib,1563212,6550.611588,1,0,375,17592186044415,693
HTTP/1,HTTP,Intercontinental,10,0,314316,2 kib,1563295,13100.527333,0,0,374,0,689
HTTP/1,HTTP,Intercontinental,10,0,314326,16 kib,1733346,94522.352646,1,1,410,17592186044415,693
HTTP/1,HTTP,Intercontinental,10,0,314330,32 b,1563087,204.723041,1,1,376,17592186044415,693
HTTP/1,HTTP,Intercontinental,10,0,314342,32 b,1563860,204.621871,0,1,376,0,689
HTTP/1,HTTP,Intercontinental,10,0,314399,512 kib,2864203,1830484.574157,0,0,634,17592186044415,996
HTTP/1,HTTP,Intercontinental,10,0,314404,2 kib,1564200,13092.949684,1,2,374,17592186044412,1563
HTTP/1,HTTP,Intercontinental,10,0,314404,256 kib,2709087,967646.768107,0,1,603,0,691
HTTP/1,HTTP,Intercontinental,10,0,314411,32 b,1564204,204.576870,2,0,375,17592186044415,692
HTTP/1,HTTP,Intercontinental,10,0,314417,512 kib,2866375,1829097.331055,2,0,634,17592186044415,996
HTTP/1,HTTP,Intercontinental,10,0,314447,64 kib,1995315,328449.337558,0,0,460,0,691
HTTP/1,HTTP,Intercontinental,10,0,314453,128 b,1563438,818.708223,0,0,374,0,693
HTTP/1,HTTP,Intercontinental,10,0,314460,128 kib,2419083,541824.933136,3,2,547,0,1530
HTTP/1,HTTP,Intercontinental,10,0,314493,256 b,1565309,1635.459746,1,3,374,0,1567
HTTP/1,HTTP,Intercontinental,10,0,314498,32 b,1565328,204.429907,1,4,374,17592186044415,1566
HTTP/1,HTTP,Intercontinental,10,0,314499,128 b,1564859,817.964923,0,0,375,0,691
HTTP/1,HTTP,Intercontinental,10,0,314506,2 kib,1565909,13078.664514,0,0,374,17592186044415,1159
HTTP/1,HTTP,Intercontinental,10,0,314513,128 b,1565175,817.799774,1,3,372,17592186044415,1566
HTTP/1,HTTP,Intercontinental,10,0,314530,16 kib,1731354,94631.118017,1,0,408,0,691
HTTP/1,HTTP,Intercontinental,10,0,314560,128 kib,2410069,543851.589713,0,0,543,17592186044415,1158
HTTP/1,HTTP,Intercontinental,10,0,314560,32 kib,1783481,183730.528996,0,0,418,0,1158
HTTP/1,HTTP,Intercontinental,10,0,314561,128 b,1564374,818.218463,0,0,375,17592186044415,690
HTTP/1,HTTP,Intercontinental,10,0,314562,8 kib,1568133,52240.444761,1,1,376,17592186044415,1563
HTTP/1,HTTP,Intercontinental,10,0,314592,16 kib,1734375,94466.292962,1,0,410,17592186044415,692
HTTP/1,HTTP,Intercontinental,10,0,314609,32 kib,1779631,184127.990342,0,0,417,17592186044415,1158
HTTP/1,HTTP,Intercontinental,10,0,314611,64 kib,2137333,306625.077596,1,1,492,17592186044415,692
HTTP/1,HTTP,Intercontinental,10,0,314617,256 b,1563417,1637.438060,0,0,376,0,690
