Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,International,10,0,1075018,32 mib,17674828,18984304.655605,56,73,3686,17592186044415,1494
HTTP/1,HTTP,International,10,0,1083691,32 mib,17299239,19396477.851547,8,15,3663,17592186044415,1119
HTTP/1,HTTP,International,10,0,275426,32 b,1370545,233.483743,1,0,329,17592186044415,1099
HTTP/1,HTTP,International,10,0,275516,8 kib,1374526,59598.683809,1,0,330,17592186044415,1099
HTTP/1,HTTP,International,10,0,275725,1 mib,2519208,4162322.715166,0,1,557,0,1100
HTTP/1,HTTP,International,10,0,275753,128 b,1371846,933.048875,1,0,329,17592186044415,1099
HTTP/1,HTTP,International,10,0,275799,256 b,1371575,1866.466129,1,1,330,0,1099
HTTP/1,HTTP,International,10,0,276170,4 mib,3841467,10918494.951431,1,2,821,0,1100
HTTP/1,HTTP,International,10,0,276371,2 kib,1373028,14915.931136,1,0,329,0,1099
HTTP/1,HTTP,International,10,0,276791,16 kib,1530973,107016.845642,0,0,360,0,1099
HTTP/1,HTTP,International,10,0,277698,8 kib,1381577,59294.558523,3,2,328,0,1428
HTTP/1,HTTP,International,10,0,277758,16 kib,1534120,106797.332647,3,4,358,0,1428
HTTP/1,HTTP,International,10,0,278933,8 kib,1390038,58933.607636,3,3,332,0,1562
HTTP/1,HTTP,International,10,0,278970,256 b,1388806,1843.309775,2,3,330,17592186044415,1562
HTTP/1,HTTP,International,10,0,279170,2 kib,1387437,14761.026601,3,3,330,17592186044415,1562
HTTP/1,HTTP,International,10,0,279242,1 kib,1388159,7376.675475,2,3,330,0,1427
HTTP/1,HTTP,International,10,0,279724,32 b,1386512,230.794903,2,3,329,0,1427
HTTP/1,HTTP,International,10,0,279782,32 b,1389205,230.347449,1,0,333,0,1221
HTTP/1,HTTP,International,10,0,279848,2 kib,1391398,14718.999008,1,0,333,0,693
HTTP/1,HTTP,International,10,0,279876,1 kib,1393277,7349.577393,0,0,334,17592186044415,693
HTTP/1,HTTP,International,10,0,279946,16 kib,1546884,105916.150616,0,1,365,0,1119
HTTP/1,HTTP,International,10,0,279954,256 b,1389215,1842.767186,0,1,333,17592186044415,1221
HTTP/1,HTTP,International,10,0,280029,128 b,1390353,920.629061,1,1,335,0,1197
HTTP/1,HTTP,International,10,0,280055,16 kib,1550494,105669.521592,0,1,366,17592186044415,1101
HTTP/1,HTTP,International,10,0,280077,8 kib,1396852,58646.117411,1,1,337,0,693
HTTP/1,HTTP,International,10,0,280113,2 kib,1388599,14748.670495,12,12,325,0,1667
HTTP/1,HTTP,International,10,0,280126,2 kib,1391417,14718.799689,1,1,334,0,1221
HTTP/1,HTTP,International,10,0,280133,8 kib,1394611,58740.368119,1,0,334,17592186044415,1119
HTTP/1,HTTP,International,10,0,280166,64 kib,1774637,369292.302783,1,0,410,0,690
HTTP/1,HTTP,International,10,0,280216,8 kib,1396453,58662.891431,1,1,336,0,1101
HTTP/1,HTTP,International,10,0,280220,128 b,1392991,918.885713,0,0,333,0,1119
HTTP/1,HTTP,International,10,0,280267,128 b,1393776,918.367977,1,0,335,0,1221
HTTP/1,HTTP,International,10,0,280276,1 kib,1392368,7354.376960,0,1,334,17592186044415,1197
HTTP/1,HTTP,International,10,0,280276,8 kib,1399629,58529.784485,0,0,335,0,1190
HTTP/1,HTTP,International,10,0,280290,1 kib,1392666,7352.801374,8,10,329,17592186044415,1667
HTTP/1,HTTP,International,10,0,280346,256 b,1392930,1837.852307,1,1,334,0,1554
HTTP/1,HTTP,International,10,0,280359,256 b,1393754,1836.765611,0,1,335,0,1101
HTTP/1,HTTP,International,10,0,280370,32 b,1396824,229.091026,1,1,335,0,1561
HTTP/1,HTTP,International,10,0,280371,256 b,1394760,1835.440203,0,1,336,0,693
HTTP/1,HTTP,International,10,0,280395,1 kib,1394601,7342.601366,0,0,334,0,690
HTTP/1,HTTP,International,10,0,280438,4 mib,3895539,10766938.806110,1,2,833,0,1220
HTTP/1,HTTP,International,10,0,280455,256 b,1392440,1838.498597,3,3,332,17592186044415,1427
HTTP/1,HTTP,International,10,0,280474,256 b,1393544,1837.041855,1,1,335,0,1190
HTTP/1,HTTP,International,10,0,280496,512 b,1390950,3680.935483,1,1,336,0,692
HTTP/1,HTTP,International,10,0,280535,2 kib,1392762,14704.594107,1,0,335,0,1197
HTTP/1,HTTP,International,10,0,280568,8 kib,1397319,58626.550659,1,1,336,0,689
HTTP/1,HTTP,International,10,0,280599,256 b,1395011,1835.110833,0,0,334,17592186044415,693
HTTP/1,HTTP,International,10,0,280616,16 kib,1547901,105846.556658,2,4,363,0,1562
HTTP/1,HTTP,International,10,0,280618,1 mib,2542667,4123920.593598,1,1,563,0,1119
HTTP/1,HTTP,International,10,0,280647,32 b,1396034,229.220639,1,0,335,0,1101
HTTP/1,HTTP,International,10,0,280652,2 kib,1395479,14675.955056,0,1,334,0,1119
HTTP/1,HTTP,International,10,0,280656,1 kib,1394815,7341.475335,2,1,336,17592186044415,1221
HTTP/1,HTTP,International,10,0,280669,32 b,1395937,229.236640,0,0,334,17592186044415,1119
HTTP/1,HTTP,International,10,0,280670,128 b,1394496,917.894036,1,1,334,0,1554
HTTP/1,HTTP,International,10,0,280711,256 b,1390372,1841.232628,12,13,325,0,1667
HTTP/1,HTTP,International,10,0,280763,128 b,1395084,917.507209,5,4,332,17592186044415,1667
HTTP/1,HTTP,International,10,0,280764,16 kib,1544989,106046.020251,4,5,358,17592186044415,1548
HTTP/1,HTTP,International,10,0,280787,256 kib,2371796,1105255.145269,1,0,529,17592186044415,1100
HTTP/1,HTTP,International,10,0,280802,64 b,1394591,458.915811,0,1,335,17592186044415,692
HTTP/1,HTTP,International,10,0,280820,128 b,1392010,919.533190,3,3,328,0,1548
HTTP/1,HTTP,International,10,0,280823,2 kib,1395986,14670.633350,1,1,336,0,1190
HTTP/1,HTTP,International,10,0,280824,128 b,1395520,917.220223,0,0,334,17592186044415,1189
HTTP/1,HTTP,International,10,0,280830,16 kib,1547457,105876.929478,1,1,365,17592186044415,1189
HTTP/1,HTTP,International,10,0,280867,8 kib,1405105,58301.672964,9,10,330,0,1667
HTTP/1,HTTP,International,10,0,280872,32 b,1393613,229.618935,1,0,335,17592186044415,693
HTTP/1,HTTP,International,10,0,280873,128 b,1394990,917.568717,2,2,333,17592186044415,1562
HTTP/1,HTTP,International,10,0,280901,8 kib,1398276,58586.420789,6,6,328,0,1548
HTTP/1,HTTP,International,10,0,280903,1 kib,1394080,7345.344364,6,8,329,17592186044415,1547
HTTP/1,HTTP,International,10,0,280904,8 kib,1397936,58600.646785,1,1,336,17592186044415,1100
HTTP/1,HTTP,International,10,0,280918,16 kib,1544103,106106.890097,1,1,366,17592186044415,1197
HTTP/1,HTTP,International,10,0,280919,128 b,1396398,916.643756,0,0,334,17592186044415,690
HTTP/1,HTTP,International,10,0,280945,32 b,1395848,229.251182,7,9,329,17592186044415,1667
HTTP/1,HTTP,International,10,0,280982,1 kib,1395638,7337.143164,0,1,336,0,693
