Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Interregion,10,0,119050,1 kib,382897,26743.428594,0,0,100,0,692
HTTP/1,HTTP,Interregion,10,0,119650,2 kib,384498,53264.159004,0,0,100,0,1097
HTTP/1,HTTP,Interregion,10,0,119873,1 mib,735434,14257919.912916,0,0,169,0,1098
HTTP/1,HTTP,Interregion,10,0,121243,16 mib,3051771,54975340.312169,2,4,630,0,1099
HTTP/1,HTTP,Interregion,10,0,121538,256 kib,596401,4395429.294110,1,1,145,0,695
HTTP/1,HTTP,Interregion,10,0,121667,1 mib,748672,14005808.469672,1,1,174,0,1099
HTTP/1,HTTP,Interregion,10,0,121732,512 b,383664,13345.007609,1,1,101,17592186044415,1152
HTTP/1,HTTP,Interregion,10,0,121732,512 kib,686439,7637785.738191,1,0,161,0,1151
HTTP/1,HTTP,Interregion,10,0,121778,256 b,382197,6698.108425,0,0,101,0,694
HTTP/1,HTTP,Interregion,10,0,121924,2 kib,381696,53655.232170,0,0,100,0,694
HTTP/1,HTTP,Interregion,10,0,121926,512 kib,692034,7576037.262680,1,0,163,0,1126
HTTP/1,HTTP,Interregion,10,0,121980,16 mib,3134744,53520200.144661,3,6,646,17592186044415,1126
HTTP/1,HTTP,Interregion,10,0,122200,256 kib,596780,4392636.661825,1,0,143,0,694
HTTP/1,HTTP,Interregion,10,0,122445,64 mib,10056358,66732766.343690,8,24,2016,0,1126
HTTP/1,HTTP,Interregion,10,0,122466,16 kib,436084,375706.821676,1,0,112,0,694
HTTP/1,HTTP,Interregion,10,0,122601,64 mib,9741715,68888135.772641,8,21,1955,17592186044415,1098
HTTP/1,HTTP,Interregion,10,0,122727,16 mib,3113367,53887688.387305,2,7,644,17592186044415,1150
HTTP/1,HTTP,Interregion,10,0,122792,1 mib,847857,12367361.260589,1,1,193,0,1397
HTTP/1,HTTP,Interregion,10,0,122801,16 mib,2914764,57559430.352785,3,4,602,0,1098
HTTP/1,HTTP,Interregion,10,0,122808,16 mib,3159041,53108565.423231,4,7,651,17592186044415,1158
HTTP/1,HTTP,Interregion,10,0,122811,64 mib,9988921,67183293.872062,10,31,2002,0,1152
HTTP/1,HTTP,Interregion,10,0,122890,512 b,382674,13379.512372,0,0,101,0,693
HTTP/1,HTTP,Interregion,10,0,122968,16 mib,3192138,52557924.143793,3,6,657,0,1144
HTTP/1,HTTP,Interregion,10,0,122968,64 mib,10066615,66664770.365720,10,21,2020,0,1100
HTTP/1,HTTP,Interregion,10,0,122979,1 kib,384229,26650.736120,1,1,102,0,1158
HTTP/1,HTTP,Interregion,10,0,123194,16 mib,3141735,53401114.441860,8,9,645,0,1398
HTTP/1,HTTP,Interregion,10,0,123360,512 kib,688389,7616148.774661,1,1,163,0,1152
HTTP/1,HTTP,Interregion,10,0,123439,2 kib,383416,53414.438150,0,0,101,0,1099
HTTP/1,HTTP,Interregion,10,0,123507,16 mib,3003768,55853895.311287,3,6,620,0,1123
HTTP/1,HTTP,Interregion,10,0,123595,512 kib,692544,7570463.492331,0,0,161,0,1119
HTTP/1,HTTP,Interregion,10,0,123603,2 kib,383975,53336.771055,0,0,101,17592186044415,1123
HTTP/1,HTTP,Interregion,10,0,123737,1 kib,383261,26718.059759,0,0,101,0,1150
HTTP/1,HTTP,Interregion,10,0,123756,1 mib,821623,12762237.129217,1,1,188,0,1094
HTTP/1,HTTP,Interregion,10,0,123807,64 mib,10229104,65605802.395431,10,23,2049,0,1144
HTTP/1,HTTP,Interregion,10,0,123814,512 kib,689390,7605099.024753,2,2,161,17592186044415,1397
HTTP/1,HTTP,Interregion,10,0,123834,1 mib,752509,13934384.405530,0,1,174,17592186044415,1123
HTTP/1,HTTP,Interregion,10,0,123856,64 mib,10406129,64489743.696635,10,30,2087,17592186044415,1094
HTTP/1,HTTP,Interregion,10,0,123956,2 kib,383658,53380.859397,1,1,102,0,1397
HTTP/1,HTTP,Interregion,10,0,124208,64 mib,10679357,62839795.553996,39,67,2116,0,1398
HTTP/1,HTTP,Interregion,10,0,124249,64 mib,10239949,65536324.052802,15,37,2047,0,1397
HTTP/1,HTTP,Interregion,10,0,124250,64 mib,9826394,68294491.113976,13,27,1970,0,1121
HTTP/1,HTTP,Interregion,10,0,124251,16 mib,3057445,54873307.147194,3,7,630,17592186044415,1094
HTTP/1,HTTP,Interregion,10,0,124354,16 mib,3137694,53469882.046650,3,7,648,0,1121
HTTP/1,HTTP,Interregion,10,0,124604,1 kib,384258,26648.720558,1,0,102,0,1144
HTTP/1,HTTP,Interregion,10,0,125291,512 kib,708783,7397008.395104,1,0,165,0,1158
HTTP/1,HTTP,Interregion,10,0,125327,2 kib,383493,53403.782101,1,0,102,0,1094
HTTP/1,HTTP,Interregion,10,0,125400,64 mib,9938374,67524991.255778,10,25,1991,17592186044415,1123
HTTP/1,HTTP,Interregion,10,0,126501,16 mib,3153651,53199339.229399,4,9,649,17592186044415,1397
HTTP/1,HTTP,Interregion,10,0,126531,64 mib,9853221,68108548.573721,8,24,1977,0,1150
HTTP/1,HTTP,Interregion,10,0,128316,1 kib,384032,26664.382904,0,0,99,17592186044415,1398
HTTP/1,HTTP,Interregion,10,0,129804,512 kib,697185,7520068.248383,2,1,165,0,1144
HTTP/1,HTTP,Interregion,10,0,143916,16 mib,3115100,53857699.293168,3,8,647,0,1152
HTTP/1,HTTP,Interregion,10,0,176437,4 kib,384640,106489.166974,0,0,111,0,694
HTTP/1,HTTP,Interregion,10,0,202405,16 kib,434777,376836.003996,1,0,127,17592186044415,694
HTTP/1,HTTP,Interregion,10,0,241985,1 kib,384136,26657.191770,0,1,125,0,1116
HTTP/1,HTTP,Interregion,10,0,77659,128 b,381333,3356.641168,1,0,92,0,694
HTTP/1,HTTP,Interregion,10,0,77668,64 b,381804,1676.250801,0,0,92,0,693
HTTP/1,HTTP,Interregion,10,0,77679,512 b,382396,13389.251205,0,0,91,0,694
HTTP/1,HTTP,Interregion,10,0,77722,8 kib,385007,212774.986281,0,0,92,17592186044415,692
HTTP/1,HTTP,Interregion,10,0,77729,128 b,381589,3354.389280,0,0,91,17592186044415,692
HTTP/1,HTTP,Interregion,10,0,77730,64 b,382411,1673.589557,0,0,91,17592186044415,694
HTTP/1,HTTP,Interregion,10,0,77735,256 kib,622579,4210609.548423,0,1,140,17592186044415,694
HTTP/1,HTTP,Interregion,10,0,77761,8 kib,384129,213261.257693,0,0,92,0,694
HTTP/1,HTTP,Interregion,10,0,77771,256 b,382461,6693.491461,0,0,91,17592186044415,694
HTTP/1,HTTP,Interregion,10,0,77773,32 b,382061,837.561705,0,0,91,17592186044415,693
HTTP/1,HTTP,Interregion,10,0,77782,1 kib,381768,26822.514416,0,0,91,0,694
HTTP/1,HTTP,Interregion,10,0,77785,1 kib,381310,26854.779361,0,0,92,0,694
HTTP/1,HTTP,Interregion,10,0,77785,256 b,382150,6698.925447,1,0,93,0,694
HTTP/1,HTTP,Interregion,10,0,77785,512 b,382017,13402.511408,0,1,92,0,692
HTTP/1,HTTP,Interregion,10,0,77793,2 kib,382881,53489.171667,0,0,91,0,692
HTTP/1,HTTP,Interregion,10,0,77810,16 kib,433140,378260.616208,0,0,102,0,692
HTTP/1,HTTP,Interregion,10,0,77810,8 kib,385325,212599.448342,1,1,94,17592186044415,693
HTTP/1,HTTP,Interregion,10,0,77813,2 kib,382104,53597.963227,0,1,93,0,694
HTTP/1,HTTP,Interregion,10,0,77848,128 kib,582231,2251199.600396,0,0,132,0,694
HTTP/1,HTTP,Interregion,10,0,77859,32 b,382820,835.900977,0,0,91,17592186044415,694
HTTP/1,HTTP,Interregion,10,0,77873,64 kib,519072,1262558.924706,1,0,118,0,694
HTTP/1,HTTP,Interregion,10,0,77885,4 kib,384312,106579.939461,0,1,93,17592186044415,692
HTTP/1,HTTP,Interregion,10,0,77899,32 kib,482164,679601.877407,0,0,112,0,693
