Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Interzone,10,0,100177,1 kib,171551,59690.585572,54,0,55,0,1161
HTTP/1,HTTP,Interzone,10,0,10290,512 b,4994,1025158.429025,1,0,2,0,1047
HTTP/1,HTTP,Interzone,10,0,10319,256 kib,7858,333598453.564298,1,0,2,17592186044415,1069
HTTP/1,HTTP,Interzone,10,0,10752,64 mib,2371486,282982253.124758,218,60,453,0,1083
HTTP/1,HTTP,Interzone,10,0,12018,64 mib,2887546,232407894.665848,266,68,552,17592186044414,1098
HTTP/1,HTTP,Interzone,10,0,12089,64 mib,2551185,263049716.652030,241,50,488,17592186044415,1133
HTTP/1,HTTP,Interzone,10,0,150882,512 kib,181750,28846617.658866,66,1,67,0,1133
HTTP/1,HTTP,Interzone,10,0,150984,32 b,201791,1585.795640,70,0,70,0,1133
HTTP/1,HTTP,Interzone,10,0,1520,2 kib,2475,8271605.935523,0,0,0,0,699
HTTP/1,HTTP,Interzone,10,0,1532,16 kib,3034,53989217.973559,1,0,1,0,709
HTTP/1,HTTP,Interzone,10,0,1546,16 kib,3758,43588611.198314,0,0,1,0,700
HTTP/1,HTTP,Interzone,10,0,1546,2 kib,2573,7956673.426731,1,0,2,0,1047
HTTP/1,HTTP,Interzone,10,0,1563,128 b,5133,249360.526618,1,0,1,0,1099
HTTP/1,HTTP,Interzone,10,0,1569,16 kib,3236,50623368.196635,0,0,1,0,693
HTTP/1,HTTP,Interzone,10,0,1571,2 kib,2613,7837524.444427,1,1,3,0,693
HTTP/1,HTTP,Interzone,10,0,1574,64 kib,4249,154223762.828251,0,1,2,0,703
HTTP/1,HTTP,Interzone,10,0,1588,512 b,2451,2088509.566965,0,0,2,0,693
HTTP/1,HTTP,Interzone,10,0,1589,64 kib,4589,142807335.611185,0,0,1,0,709
HTTP/1,HTTP,Interzone,10,0,1594,128 b,2383,536917.256017,0,1,2,0,693
