Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Intrazone,10,0,101299,8 kib,7105,11528626.655164,21,0,22,17592186044415,1122
HTTP/1,HTTP,Intrazone,10,0,11301,2 mib,86647,242033089.399666,10,2,18,17592186044415,1122
HTTP/1,HTTP,Intrazone,10,0,1438,2 kib,2337,8761875.914211,0,0,0,0,705
HTTP/1,HTTP,Intrazone,10,0,1455,32 kib,3137,104455488.152807,0,0,0,0,692
HTTP/1,HTTP,Intrazone,10,0,1476,256 b,2288,1118617.109598,0,0,1,0,695
HTTP/1,HTTP,Intrazone,10,0,1487,1 kib,2475,4136187.194785,1,0,2,0,705
HTTP/1,HTTP,Intrazone,10,0,150519,256 b,131255,19504.013991,57,0,58,0,1048
HTTP/1,HTTP,Intrazone,10,0,150885,2 mib,262357,79934773.987963,82,1,83,17592186044415,1048
HTTP/1,HTTP,Intrazone,10,0,1527,8 kib,2692,30425594.342741,0,0,1,0,705
HTTP/1,HTTP,Intrazone,10,0,1535,2 kib,2243,9130180.864960,0,0,0,0,696
HTTP/1,HTTP,Intrazone,10,0,1539,8 kib,2634,31099924.452088,0,0,1,0,710
HTTP/1,HTTP,Intrazone,10,0,1563,8 kib,2656,30835351.194399,0,0,0,0,696
HTTP/1,HTTP,Intrazone,10,0,1568,32 b,2458,130161.143563,0,0,1,0,691
HTTP/1,HTTP,Intrazone,10,0,1568,4 kib,3169,12922643.967908,0,0,1,0,705
HTTP/1,HTTP,Intrazone,10,0,1568,512 b,2477,2066190.743304,0,0,0,0,705
HTTP/1,HTTP,Intrazone,10,0,1569,4 kib,3267,12536728.697356,0,0,0,0,699
HTTP/1,HTTP,Intrazone,10,0,1576,32 kib,3443,95168944.626126,1,0,2,0,705
HTTP/1,HTTP,Intrazone,10,0,1583,16 kib,3068,53395210.595612,0,0,1,0,691
HTTP/1,HTTP,Intrazone,10,0,1587,512 b,2435,2102427.646924,0,0,0,0,695
HTTP/1,HTTP,Intrazone,10,0,1599,32 b,2181,146664.527809,0,0,0,0,695
HTTP/1,HTTP,Intrazone,10,0,1600,512 b,2505,2043895.857119,0,0,1,0,699
HTTP/1,HTTP,Intrazone,10,0,160609,16 mib,894578,187543216.434234,154,16,205,0,1048
HTTP/1,HTTP,Intrazone,10,0,160775,4 mib,393573,106569792.650211,108,3,111,0,1048
HTTP/1,HTTP,Intrazone,10,0,160848,512 b,171495,29855.073966,66,1,67,0,1048
HTTP/1,HTTP,Intrazone,10,0,160945,128 b,161386,7931.272009,64,1,65,17592186044415,1134
HTTP/1,HTTP,Intrazone,10,0,161033,2 kib,191793,106781.577548,71,0,71,0,1048
HTTP/1,HTTP,Intrazone,10,0,161092,256 b,191786,13348.172121,70,0,70,0,1122
HTTP/1,HTTP,Intrazone,10,0,161177,512 kib,211925,24739225.933757,74,1,76,0,1048
HTTP/1,HTTP,Intrazone,10,0,1618,16 kib,3092,52971567.873054,0,0,0,0,705
HTTP/1,HTTP,Intrazone,10,0,1618,32 kib,5144,63695208.475070,0,0,2,0,696
HTTP/1,HTTP,Intrazone,10,0,1620,128 b,2349,544826.911044,0,0,0,0,705
HTTP/1,HTTP,Intrazone,10,0,1624,8 kib,2752,29764640.609768,0,0,1,0,699
HTTP/1,HTTP,Intrazone,10,0,1626,512 b,8606,594926.854208,1,0,1,0,1096
HTTP/1,HTTP,Intrazone,10,0,1631,1 kib,4256,2405822.843100,1,0,1,0,1082
HTTP/1,HTTP,Intrazone,10,0,1631,32 kib,3230,101429133.017399,0,0,0,0,700
HTTP/1,HTTP,Intrazone,10,0,1632,256 b,2436,1050800.024136,0,0,0,0,699
HTTP/1,HTTP,Intrazone,10,0,1633,64 b,2196,291326.217084,0,0,1,0,695
HTTP/1,HTTP,Intrazone,10,0,1634,2 kib,2254,9085343.672644,0,0,1,0,699
