Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Local-10,10,10,104914,32 b,803129,398.441347,0,1,722,0,1725
HTTP/1,HTTP,Local-10,10,10,111434,32 b,1573122,203.417050,1,2,1341,0,1726
HTTP/1,HTTP,Local-10,10,11,104824,512 b,2837036,1804.700271,1,4,2340,17592186044415,1564
HTTP/1,HTTP,Local-10,10,21,2172155,64 kib,1179278,555729.814706,48,38,2612,2,5658
HTTP/1,HTTP,Local-10,10,25,1138826,16 kib,1848335,88641.906338,34,28,2341,17592186044413,5658
HTTP/1,HTTP,Local-10,10,28,361284,4 kib,1531328,26748.016510,28,17,1482,2,5738
HTTP/1,HTTP,Local-10,10,4,101772,2 mib,1552424,13508883.266715,30,37,1291,17592186044415,5660
HTTP/1,HTTP,Local-10,10,4,101894,2 kib,767754,26675.193698,11,12,672,17592186044415,5729
HTTP/1,HTTP,Local-10,10,4,102002,64 mib,15903866,42196571.506684,308,815,12445,2,5712
HTTP/1,HTTP,Local-10,10,4,102005,256 kib,2573732,1018536.427372,36,30,2097,17592186044415,5655
HTTP/1,HTTP,Local-10,10,4,102201,2 mib,1841712,11386965.437825,33,44,1517,17592186044414,5659
HTTP/1,HTTP,Local-10,10,4,102210,256 kib,1036126,2530038.561894,19,15,888,17592186044414,5654
HTTP/1,HTTP,Local-10,10,4,102465,2 mib,6321355,3317567.041359,14,47,5081,17592186044412,1512
HTTP/1,HTTP,Local-10,10,4,103058,16 kib,1993043,82205.941035,25,23,1643,17592186044415,5657
HTTP/1,HTTP,Local-10,10,4,105275,64 b,538299,1188.928770,1,1,512,0,1727
HTTP/1,HTTP,Local-10,10,4,106751,2 mib,1292647,16223692.176632,8,23,1100,3,1515
HTTP/1,HTTP,Local-10,10,4,108471,512 b,530364,9653.745418,1,2,509,0,1564
HTTP/1,HTTP,Local-10,10,48,626418,64 mib,16261286,41269099.865354,104,523,13305,17592186044414,1659
HTTP/1,HTTP,Local-10,10,5,101641,8 kib,510381,160507.290816,13,10,475,17592186044414,5735
HTTP/1,HTTP,Local-10,10,5,101789,2 mib,2070585,10128305.267115,34,37,1705,0,5659
HTTP/1,HTTP,Local-10,10,5,101814,16 kib,563732,290634.505291,7,7,522,17592186044415,5658
HTTP/1,HTTP,Local-10,10,5,101866,8 mib,2870914,29219288.836362,51,118,2319,0,5672
HTTP/1,HTTP,Local-10,10,5,101899,32 mib,8759014,38308454.507920,179,412,6871,17592186044415,5650
HTTP/1,HTTP,Local-10,10,5,101939,8 kib,1280296,63985.198424,13,17,1088,17592186044415,5734
