Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Local,10,10,3425,4 mib,135468,309614936.029362,7,19,100,2,1669
HTTP/1,HTTP,Local,10,20,1865,8 mib,202401,414453845.450750,15,28,153,2,1677
HTTP/1,HTTP,Local,10,22,2266,32 mib,892458,375977589.092958,46,157,695,18,1838
HTTP/1,HTTP,Local,10,3,1023,64 b,2805,228155.858971,1,1,5,0,1669
HTTP/1,HTTP,Local,10,3,1406,64 kib,7069,92697209.295747,0,1,6,0,1658
HTTP/1,HTTP,Local,10,3,1481,8 kib,4338,18880796.533604,0,0,4,17592186044412,5657
HTTP/1,HTTP,Local,10,3,1609,512 b,3850,1329628.379256,0,1,4,0,1669
HTTP/1,HTTP,Local,10,3,1970,16 mib,442996,378721015.303274,22,74,339,4,1713
HTTP/1,HTTP,Local,10,3,1978,16 mib,476966,351748235.620691,26,80,366,17592186044395,1697
HTTP/1,HTTP,Local,10,3,2312,32 mib,972104,345173238.133653,45,169,756,19,1840
HTTP/1,HTTP,Local,10,31,1564,4 mib,148670,282121556.385581,12,25,112,4,5647
HTTP/1,HTTP,Local,10,4,1007,4 kib,3992,10259236.067627,0,1,4,0,1659
HTTP/1,HTTP,Local,10,4,1039,4 kib,4092,10009285.958653,0,1,3,0,1659
HTTP/1,HTTP,Local,10,4,1054,128 b,3568,358674.026957,0,0,2,0,1669
HTTP/1,HTTP,Local,10,4,1054,32 kib,10144,32302520.677044,0,1,8,0,1658
HTTP/1,HTTP,Local,10,4,1054,64 b,3485,183628.382062,0,1,4,0,1669
HTTP/1,HTTP,Local,10,4,1070,2 kib,3552,5765765.765766,0,1,4,0,1659
HTTP/1,HTTP,Local,10,4,1071,32 b,3718,86056.205459,0,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1076,1 kib,3726,2747665.557583,0,1,4,0,1658
HTTP/1,HTTP,Local,10,4,1085,512 kib,20149,260201595.092634,1,3,15,0,1658
HTTP/1,HTTP,Local,10,4,1095,32 b,3127,102327.961115,0,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1098,64 b,3457,185131.617009,0,1,4,0,1669
HTTP/1,HTTP,Local,10,4,1103,16 kib,4446,36851102.114260,0,1,5,0,1658
HTTP/1,HTTP,Local,10,4,1104,2 kib,3224,6350978.385586,0,1,3,0,1659
HTTP/1,HTTP,Local,10,4,1112,512 b,3549,1442578.609264,0,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1116,1 kib,3707,2762192.490289,0,0,2,0,1659
HTTP/1,HTTP,Local,10,4,1119,256 b,3383,756724.800473,1,0,4,0,1669
HTTP/1,HTTP,Local,10,4,1119,256 kib,14820,176881709.547040,1,2,12,0,1658
HTTP/1,HTTP,Local,10,4,1128,64 b,3788,168923.377412,1,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1130,64 b,2875,222546.769595,0,1,3,0,1669
HTTP/1,HTTP,Local,10,4,1134,8 kib,4710,17392781.316348,0,1,4,0,1658
HTTP/1,HTTP,Local,10,4,1138,512 kib,17495,299671913.760188,1,2,13,0,1659
HTTP/1,HTTP,Local,10,4,1140,32 kib,5562,58914059.690759,1,1,5,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1140,4 kib,4082,10032330.753405,0,1,3,17592186044415,1659
HTTP/1,HTTP,Local,10,4,1153,128 b,4119,310755.037630,1,1,5,0,1669
HTTP/1,HTTP,Local,10,4,1157,128 kib,7807,167890354.809786,0,1,5,0,1658
